# 2025-10-07_09:38:40.617145 - Power data for run 10989526
# 2025-10-07_09:38:40.617145 - Tracking started
# timestamp                  reading-time[ns] cpu-0[uJ] cpu-0-core[uJ] cpu-1[uJ] cpu-1-core[uJ] cpu-0[W] cpu-0-core[W] cpu-1[W] cpu-1-core[W]
  2025-10-07_09:38:40.623688 65530 23803563318 268204101 18146807011 202901906 82.89715211579444 0.01962022893457371 83.17583314191646 0.2205680614575756
  2025-10-07_09:38:40.723992 81655 23811878287 268206069 18155149933 202924030 57.393531946122074 0.01614016864620814 56.77040971209609 0.015980562528569494
  2025-10-07_09:38:40.824239 61083 23817631804 268207687 18160840984 202925632 86.05936688949681 0.09080453958499742 84.06942263744311 0.0950611581383835
  2025-10-07_09:38:40.924553 80523 23826264795 268216796 18169274355 202935168 57.80499278667758 0.016473884893927374 54.42980565614043 0.016014055582567747
  2025-10-07_09:38:41.024590 59771 23832047440 268218444 18174719356 202936770 65.65455818643083 0.016303555581698072 63.28082243126292 0.01555431129945092
  2025-10-07_09:38:41.124691 61895 23838619518 268220076 18181053821 202938327 66.16454714204765 0.015972608631286626 63.6897200530139 0.01886402966940967
  2025-10-07_09:38:41.224988 69485 23845255604 268221678 18187441690 202940219 71.884654315539 0.01632039055404178 72.94689886594772 0.3557605282009952
  2025-10-07_09:38:41.325047 68484 23852448302 268223311 18194740675 202975816 95.3715804589249 0.024547753843556813 95.65664212464095 0.8593112577657622
  2025-10-07_09:38:41.425138 76958 23861994103 268225768 18204315008 203061825 96.74105741426526 0.15773785217153838 95.01912075473624 0.4586281388855568
  2025-10-07_09:38:41.525443 87043 23871697779 268241590 18213845964 203107828 75.29465429315373 0.016291754779819277 72.928049944195 0.024811753911457773
  2025-10-07_09:38:41.625678 71218 23879244920 268243223 18221155889 203110315 74.66880251361997 0.017684381154564287 73.76616971890425 0.4663281389876461
  2025-10-07_09:38:41.725766 78420 23886718395 268244993 18228539021 203156989 112.17825424465308 0.01989083812465594 111.17450361706626 1.8206587877444083
  2025-10-07_09:38:41.826215 674117 23897986505 268246991 18239706306 203339871 112.55573071335311 0.01847023641902616 108.7567520864267 1.4954591418770158
  2025-10-07_09:38:41.926213 473272 23909241934 268248838 18250581842 203489415 112.69158561121576 0.017720868094267806 110.01431285481782 1.5256165660682017
  2025-10-07_09:38:42.026096 74744 23920497822 268250608 18261570318 203641797 114.59977361965542 0.03750023980968703 115.39271434189826 1.5242803311292157
  2025-10-07_09:38:42.126175 77368 23931966894 268254361 18273118747 203794346 130.50313051527007 0.3908847772150603 142.08590712604868 1.6055930434059749
  2025-10-07_09:38:42.226261 77829 23945028399 268293483 18287339523 203955043 127.20212548089464 0.12440032051118077 140.9012386554901 1.6108692426932145
  2025-10-07_09:38:42.326341 83187 23957758804 268305933 18301440937 204116259 124.76272602451704 0.0902246387430552 136.0909406219736 1.7652092678016207
  2025-10-07_09:38:42.426790 651533 23970291130 268314996 18315111174 204293573 112.55172411865566 0.019953783085548404 109.87086997615846 1.5056671538890052
  2025-10-07_09:38:42.526972 694418 23981566731 268316995 18326118203 204444413 112.53471813731757 0.025764869976419795 109.82875742315973 1.5104467706377904
  2025-10-07_09:38:42.627069 724584 23992831179 268319574 18337111791 204595605 111.7098670195208 0.03086627428675895 110.12024397528411 1.3350853845255384
  2025-10-07_09:38:42.727891 1032795 24004093993 268322686 18348214336 204730211 113.10904196876275 0.016856368241550086 109.40031969071183 4.694292744938792
  2025-10-07_09:38:42.827497 86222 24015360363 268324365 18359111294 205197792 112.60745976151846 0.016774031128763137 109.96982833628479 4.842696774779662
  2025-10-07_09:38:42.927533 68965 24026625116 268326043 18370112190 205682234 112.60063423131731 0.016320307043240875 110.01396050857473 4.85342745236749
  2025-10-07_09:38:43.027592 69035 24037891867 268327676 18381120120 206167865 112.539816415564 0.015859809121051175 109.9433448043625 4.859457506984312
  2025-10-07_09:38:43.127657 67392 24049153080 268329263 18392121519 206654123 112.57874061388695 0.016009958553994934 109.99673005091205 4.85143717860158
  2025-10-07_09:38:43.227719 69576 24060418015 268330865 18403128091 207139571 112.56512964853171 0.015858713670654865 109.99475892996472 4.844322392639606
  2025-10-07_09:38:43.327790 71509 24071682539 268332452 18414135395 207624348 112.54894554714441 0.01584949115338566 109.982727052655 4.796839503535575
  2025-10-07_09:38:43.427857 71960 24082944896 268334038 18425140960 208104350 112.5818440388566 0.01585993084710379 108.9102050889931 4.763575701058911
  2025-10-07_09:38:43.527920 69986 24094210228 268335625 18436038895 208581010 112.59345749927712 0.01586244693726635 109.96422943251339 4.715064874709258
